id,cluster
7AoN5SMk753WPJpo07a2Zu ,16
2CUhpJSsqsiGso3crpgige ,18
4LUnzzfN1BovBBKLrFnVUL ,39
64iEbQ53jtNho7EDr2B8Q0 ,1
1Ja0n5NNZhCtJBdlTHcR0v ,18
3BSpuy2yHhoEazfXVU7WGq ,9
5398TGoqlahZ9HALM3sqKF ,20
1JbFidSkGeV7ux0nhUE0Rh ,9
0oqzhihFWOB6bv5F2uthA9 ,1
66DIOrwFXTFrcHxpdNvWHb ,18
33wD19xH3gaHBXWjQzbEyD ,37
4ubIcbZnCX7yLZl9BPdvwk ,36
7r7FWq2GLYp9QynCiB0YfQ ,8
5mxzLPrYmE7IdyEQAqZNLF ,5
1nXXiAnSuCfmf733yQm42T ,28
7LS7JG0SkumpwyTUXAo3Co ,7
4POtmRooo9xh9tCxLfYR9x ,18
1s8fHfQDSkwbDHG5nhkQ2V ,1
3hiaM0gv6YSe4mi6m3bH7q ,1
7tBbPgqk1pJ6NOVZgrttEk ,5
3EBwL62rmZmB9suDDzGpIu ,26
0yRpb5gLOPpi574BKoOCPd ,36
4UtZKphDOFVtcYg5ro3HUl ,16
41ScviuDBx6Aa8z6sxopjE ,39
282VgBXcFt4JPkkxT7c2cF ,36
2JXzKmttRH5Hj1Q587ParV ,8
7rAU6XmHND4DoJbgDhd3mB ,18
7jHbSLCurG77JrJNXGRePG ,16
7cPiPGVC6hO3n9EdcYuEHo ,39
1VlnmD8Gs2arDv7iU0wiwq ,16
6ZnMw8aaRKdeV3nqcR2mjq ,16
4Uxz2P0dDnFJFi4rb4Awvr ,36
3soRnznKdQHTMmuW6wiUDY ,21
7fETRfzubHGrHw2UzVflYp ,16
1KY0SPHwHTNIbNamsBG88f ,31
2FDTgrYDUdQKyGmtynEk90 ,8
02EpZw0SSjzfYEwSSqr6kR ,1
06AmZMkuYMl2sqvpMthv4R ,8
4yPSIQKkeZrDkOLg9Q53Rl ,34
3qPC3JU9mtANkxooHtATl1 ,33
5JhCCmkPDt6ePDJ1P1jOTD ,31
1udKn1oNKYQSQ9OmiIWCMu ,18
69EK2G7kMexNqRT8GTNtOA ,6
1id8C2LdzAayYwyWqfBCrk ,36
4YPSswEhEtSUVB7bAORiaw ,34
5iFOaCv1h54prfGhx8l0uq ,4
4jrLodtpHkQiiHlG0Mhur8 ,16
4YQITuLaOqvcvC7tVW7lC7 ,18
4QFEUktWf0JfhpFr2RZc8A ,19
52aLJ0vt7gC2Ck8YF1pTsl ,34
6gRVPvazyhX9Xc1vtaa2MW ,16
4c9WmjVlQMr0s1IjbYO52Z ,7
6H6PVRpRJ3L9K7wEGNDmLa ,34
4sXcFVHLvo9D0NRgAf80v4 ,39
4BIeUmSnhzsbc9Gx9siazj ,34
1QXP0oho8SoCPRwXwXSy7d ,18
0wmcGkzh4pSEjRQXqCWTLR ,4
0saXhtsUkFw6lpsxz9zZ1o ,39
3QzdcXqVvW78s0TR0bmaA5 ,3
1BrzLwOKRxDwnlxwXrcZIS ,20
2UR07aVpmrkv9RLEk6ZyQh ,18
3D64E7BS9NZLgSvguA2zgf ,18
1d7ZUN9wJo4MALGGyeKvyV ,16
2hrAySTnYZsWMpCviKwhJ8 ,21
1aUAx5HCG58uvqE7CwcDIo ,18
3XpXhVtZwqh2eM5d9ieXT5 ,15
1a1HWwO0dm5uN5cs6TGG8f ,36
3df82vwSi6zhbVSualQjeX ,7
0D3Th2YU14U737O0nSHXT8 ,1
1aIZ1YDVQK9nTTwxVnD8ah ,0
54jr12OtOZNBxoW4aNtZ12 ,15
0w9bDd1FaBpYFXlILpWe3P ,28
5QlGALr14YMN0xIDmIwleg ,31
3iyjOwyySLRDEW2tqP7MhX ,34
31w3VErBcpS8w5k9Mwz1Hc ,18
6Um3XCAxl9YfFmAnGl93xc ,1
0QJenmzx9ZNjbWuYwK9QrY ,39
2JO3HwMRPeya8bXbtbyPcf ,18
3lXbRMh6mBAppRX3UabXbW ,16
1s0jITO7ClMWWVlFha3rEJ ,20
6xNcAs7xEEHCdh6JERq0bo ,34
2JQInPhiCSNroUZSMwtzej ,34
5oUV6yWdDM0R9Q2CizRhIt ,8
5i07tC6hV5AtYTr0tsP0Uy ,1
0uth1qazXbWvXmSLLDsxVD ,18
2pucDx5Wyz9uHCou4wntHa ,29
6q2RPhNMGOaAWLONHd0j7a ,39
1BESd88Imk21RCmSuypCOu ,1
4zlFyCPxyhopj48y8btCup ,20
